origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct
dubai,43.8,36.2,164,144.3,3.3,63.96,56.9,20.2
ajman,19.6,70.2,160,47.3,1.3,19.1,48.0,14.7
ras al khaimah,86.3,3.9,72,38.9,0.9,15.58,13.7,5.5
dubai,5.7,70.0,107,102.2,2.5,37.43,7.0,3.6
sharjah,39.9,30.4,96,88.1,2.6,43.47,59.9,33.2
ras al khaimah,85.7,27.2,134,41.4,1.1,16.9,43.2,26.8
ajman,39.3,69.3,65,58.8,1.6,29.51,31.4,17.0
dubai,11.8,21.5,66,38.8,1.4,17.81,58.7,20.3
dubai,26.6,96.2,85,39.4,0.9,19.23,57.2,35.3
ajman,60.0,99.1,43,58.3,1.5,23.12,7.0,2.1
sharjah,15.2,45.8,116,139.0,3.9,53.92,38.2,22.2
al ain,65.5,40.1,191,126.1,4.1,54.89,41.4,21.1
ajman,43.8,7.9,70,79.3,1.9,33.64,51.8,25.8
al ain,33.4,77.8,172,74.3,1.9,33.52,29.9,17.9
abu dhabi,24.1,16.3,93,9.6,0.3,4.75,40.8,13.0
sharjah,82.3,93.3,33,72.0,2.0,37.7,21.3,9.9
dubai,39.7,99.1,99,95.4,3.1,44.55,24.1,16.3
ajman,73.8,12.2,100,117.9,2.5,47.24,33.8,10.3
abu dhabi,44.0,68.3,5,56.6,1.4,23.39,12.8,8.3
sharjah,9.2,46.6,96,138.3,3.9,72.33,47.5,26.6
sharjah,44.1,54.1,33,126.8,2.8,50.43,29.8,19.8
abu dhabi,50.8,18.0,159,16.9,0.5,6.37,51.1,16.3
dubai,45.8,72.4,108,135.9,2.8,71.46,47.2,29.4
ajman,81.6,16.7,61,37.3,1.0,13.61,33.7,17.3
al ain,91.1,88.5,1,138.9,4.7,68.73,41.3,16.5
abu dhabi,78.7,45.4,114,96.4,3.3,37.23,50.9,24.9
sharjah,58.3,63.5,141,64.7,1.6,31.05,20.3,13.6
abu dhabi,54.1,92.2,85,68.3,1.4,26.88,43.7,20.8
ras al khaimah,64.5,73.8,181,86.6,2.9,45.16,55.4,19.7
sharjah,28.8,54.1,40,127.4,3.6,47.01,1.9,0.6
al ain,81.2,40.3,151,126.4,3.6,52.43,30.0,9.2
abu dhabi,85.7,46.2,99,65.2,2.1,32.66,8.7,3.3
dubai,26.7,34.2,63,128.1,3.3,59.2,23.1,12.0
ajman,90.3,94.6,58,73.4,1.9,32.0,49.7,21.9
ajman,84.9,25.3,90,65.5,2.1,28.71,11.9,7.7
al ain,42.4,40.9,17,40.3,1.1,18.15,2.2,1.4
al ain,90.9,77.8,130,125.0,3.9,67.38,17.1,8.3
al ain,12.0,36.4,82,94.9,3.2,45.67,46.8,18.4
ajman,2.8,88.7,136,67.5,1.7,30.22,6.5,3.0
sharjah,34.8,24.3,103,101.0,3.4,42.21,35.2,19.5
sharjah,56.5,3.1,195,129.8,3.2,58.5,44.6,13.8
dubai,35.1,62.9,17,33.7,1.1,17.73,34.2,22.4
sharjah,94.2,50.8,99,61.9,1.5,24.72,56.1,31.5
sharjah,25.5,93.3,107,60.1,1.4,25.37,45.4,31.1
dubai,28.1,42.3,50,16.0,0.5,5.95,5.3,3.0
abu dhabi,63.5,13.6,134,53.4,1.8,25.27,51.3,22.8
ajman,0.4,33.0,73,115.5,3.6,57.53,32.9,15.6
sharjah,72.8,39.3,152,41.7,1.3,19.76,58.1,17.6
al ain,37.7,58.3,184,122.6,4.2,62.05,59.1,19.1
sharjah,97.8,27.5,170,143.5,4.1,71.57,9.8,3.3
al ain,69.1,55.0,126,37.5,1.2,20.06,14.9,6.8
ajman,5.2,90.8,143,64.4,1.3,28.43,39.2,16.3
dubai,9.3,42.4,172,24.0,0.5,9.0,3.3,1.5
abu dhabi,8.8,65.2,196,105.4,2.5,48.1,24.1,11.1
ras al khaimah,95.3,22.9,145,74.9,2.6,37.36,59.3,26.1
ajman,68.4,80.1,182,90.4,2.1,39.17,31.6,16.0
abu dhabi,42.8,27.0,193,117.9,3.0,51.98,19.9,13.4
ajman,20.0,58.0,36,117.5,2.4,57.9,11.1,5.7
al ain,87.4,30.0,100,79.8,1.7,28.97,45.0,28.3
sharjah,20.2,6.7,72,132.9,3.8,63.57,55.8,34.1
dubai,70.7,32.0,190,140.1,3.0,68.27,55.5,25.9
abu dhabi,76.3,21.2,149,96.5,3.2,51.6,3.9,1.5
al ain,29.5,89.3,177,10.6,0.4,5.21,4.5,1.4
ras al khaimah,50.5,26.6,70,117.5,3.4,45.07,59.4,19.1
al ain,22.3,97.4,168,134.3,3.5,60.39,57.2,22.2
al ain,37.9,49.2,17,85.7,2.9,37.11,13.2,8.6
dubai,96.5,22.1,187,106.6,2.9,46.07,11.9,4.1
abu dhabi,69.3,39.1,46,56.6,1.3,28.37,35.4,22.3
dubai,84.7,18.3,105,77.8,2.0,36.15,19.0,9.2
dubai,54.1,83.4,143,120.7,3.1,59.33,43.1,24.1
al ain,23.9,12.0,148,132.0,3.8,65.24,12.3,4.4
al ain,71.3,87.4,43,21.7,0.6,10.5,48.4,29.9
dubai,50.1,4.6,111,7.5,0.2,3.72,16.9,5.7
ras al khaimah,17.7,30.0,106,59.2,1.7,23.64,8.4,4.3
ajman,41.2,14.0,155,61.7,1.5,23.31,20.5,7.0
dubai,63.5,68.5,64,117.1,3.0,45.56,1.2,0.8
al ain,73.5,51.2,152,6.2,0.2,3.13,38.7,20.7
al ain,24.3,93.9,123,115.8,2.7,61.62,4.1,2.1
ajman,87.6,36.6,151,82.8,1.8,43.77,8.9,3.6
ras al khaimah,38.0,4.1,175,106.2,3.3,38.48,47.6,24.0
sharjah,27.1,76.2,86,78.8,2.1,42.48,30.3,9.3
ras al khaimah,19.5,58.0,87,119.7,2.6,62.19,35.6,17.5
sharjah,80.4,82.7,159,68.4,1.9,27.07,16.9,6.5
al ain,35.4,42.6,156,55.1,1.6,25.36,58.3,38.3
dubai,48.3,73.8,175,97.3,2.0,52.27,59.2,24.2
abu dhabi,22.3,17.1,110,69.4,2.2,30.87,21.9,11.0
al ain,68.6,100.0,127,49.0,1.3,26.05,47.3,14.2
abu dhabi,78.1,17.4,12,137.5,2.8,62.96,48.1,28.7
abu dhabi,33.9,83.0,91,109.9,3.6,46.38,54.8,20.0
ras al khaimah,94.5,21.2,50,33.5,1.0,13.03,51.7,36.2
abu dhabi,3.1,78.3,170,112.3,3.9,42.53,26.4,11.0
ajman,13.3,86.1,25,41.6,1.0,20.27,21.7,12.3
abu dhabi,58.9,87.7,155,67.5,1.8,28.28,56.1,38.4
abu dhabi,70.1,47.6,167,36.5,1.1,15.82,24.5,14.8
al ain,25.1,42.9,94,21.4,0.7,11.31,31.2,13.7
abu dhabi,55.4,83.4,133,62.9,2.0,24.91,5.8,3.9
dubai,31.8,57.9,116,85.5,2.5,36.52,17.6,6.8
ras al khaimah,55.4,62.1,138,48.8,1.6,25.56,9.8,5.4
al ain,65.9,23.6,137,15.9,0.3,8.42,4.9,2.9
dubai,97.3,44.6,51,41.2,1.3,20.79,22.2,9.8
ras al khaimah,45.6,36.9,137,40.6,1.2,17.42,30.9,19.5
ajman,64.8,66.5,180,90.7,2.2,34.7,46.8,22.9
ras al khaimah,57.8,19.6,62,45.9,1.1,23.05,36.5,23.5
dubai,31.8,40.6,62,82.4,2.0,42.11,49.5,19.1
al ain,25.3,84.9,59,73.2,1.6,35.77,14.0,9.2
ajman,98.8,54.6,182,43.6,1.1,18.34,47.7,24.5
al ain,20.7,89.6,177,112.5,2.4,53.71,3.1,1.5
sharjah,79.0,23.3,70,101.8,3.1,49.52,16.6,6.5
al ain,14.7,44.0,187,103.6,2.9,53.84,26.6,9.1
ajman,80.4,50.0,152,67.9,1.5,26.14,57.4,23.9
dubai,18.6,40.1,81,50.9,1.6,20.74,5.4,2.5
al ain,96.7,68.4,165,90.7,2.1,39.24,15.8,8.5
ras al khaimah,68.6,14.9,182,144.1,4.0,72.93,9.1,5.4
abu dhabi,9.0,51.9,173,67.9,2.3,35.37,25.5,8.1
ajman,69.3,13.9,94,101.5,3.2,41.63,19.7,13.4
sharjah,60.4,62.9,44,69.1,2.0,31.15,5.5,2.2
ajman,33.8,83.0,34,140.2,4.0,65.81,28.9,16.5
al ain,26.1,2.0,165,43.4,0.9,16.92,29.1,18.1
al ain,71.9,45.7,146,71.5,1.9,35.94,37.8,17.6
abu dhabi,74.1,49.3,142,76.6,1.9,34.07,50.5,24.0
al ain,32.7,72.0,10,110.7,3.0,57.68,58.4,18.6
sharjah,87.6,7.5,193,109.6,3.8,50.27,6.2,2.9
ras al khaimah,26.9,40.6,23,112.2,3.6,57.22,20.3,13.7
ras al khaimah,7.0,78.5,116,111.3,3.2,41.05,58.3,26.1
sharjah,60.0,53.2,188,73.1,2.2,32.09,34.1,22.5
sharjah,10.7,75.0,49,27.6,0.9,12.02,23.8,13.8
sharjah,27.7,36.4,104,131.2,3.5,51.81,26.1,17.1
al ain,50.7,92.0,168,52.1,1.7,24.02,50.6,19.1
sharjah,28.6,7.7,54,21.0,0.6,10.4,51.8,29.4
abu dhabi,21.5,9.1,21,23.7,0.7,10.64,17.7,6.0
sharjah,70.3,52.8,96,76.7,1.5,39.1,18.5,9.2
abu dhabi,54.7,47.1,159,66.8,1.9,27.57,42.0,24.8
sharjah,84.0,63.8,116,101.2,2.6,41.87,4.1,1.5
dubai,58.1,22.9,89,93.7,2.0,36.55,50.8,34.7
dubai,48.3,22.6,128,20.6,0.6,10.32,0.4,0.2
ras al khaimah,26.1,74.9,11,48.0,1.6,18.56,27.7,13.3
dubai,79.2,29.2,70,135.0,4.2,52.24,47.6,31.1
ajman,19.7,72.7,175,116.2,2.5,41.98,54.9,35.4
ras al khaimah,24.2,64.1,78,131.2,2.7,56.4,37.6,25.1
ras al khaimah,84.2,8.3,193,8.2,0.2,3.6,31.8,18.1
sharjah,74.1,71.1,110,137.3,3.2,60.58,41.8,23.6
abu dhabi,61.3,88.0,186,129.9,2.7,64.68,50.5,19.8
al ain,3.9,81.7,125,70.6,1.5,30.69,0.8,0.5
al ain,12.7,0.9,84,102.7,2.6,37.05,36.4,20.0
ajman,50.0,54.0,184,44.4,1.0,20.85,46.0,20.1
dubai,74.6,91.3,54,100.5,2.3,39.28,55.5,38.1
dubai,46.4,59.9,79,120.8,4.0,44.03,24.0,11.9
abu dhabi,1.7,29.0,144,75.1,2.6,37.54,54.1,31.9
dubai,18.4,19.5,175,9.1,0.3,3.68,37.8,21.4
al ain,58.9,68.5,39,65.4,1.5,32.44,20.0,6.1
abu dhabi,69.4,77.1,198,110.1,2.5,52.35,59.0,28.5
abu dhabi,3.3,91.3,86,107.0,3.1,55.53,3.5,1.9
al ain,4.3,90.6,68,75.5,2.4,32.05,52.2,36.5
ras al khaimah,26.1,33.9,26,147.9,4.4,70.55,31.7,11.5
abu dhabi,8.4,60.4,6,22.0,0.7,10.17,35.1,20.1
sharjah,54.2,10.2,111,28.0,0.8,14.03,49.9,23.7
ajman,12.4,9.4,121,42.5,1.5,17.82,55.6,27.1
ajman,64.8,7.1,19,121.5,3.9,56.85,53.7,19.5
al ain,77.7,92.7,180,115.6,2.4,52.87,28.0,14.3
al ain,97.1,15.2,109,117.1,3.0,43.07,42.7,13.6
al ain,94.8,48.2,11,132.5,3.8,48.51,45.1,21.0
dubai,27.3,43.3,168,69.2,1.6,36.16,20.8,9.6
abu dhabi,2.9,32.5,40,51.2,1.3,24.34,18.2,6.7
ajman,32.9,53.8,134,92.1,2.7,43.32,49.3,34.5
dubai,70.8,0.3,135,64.4,1.8,31.8,32.1,18.8
sharjah,6.0,38.0,162,81.0,2.7,29.39,13.4,9.1
dubai,36.0,47.9,162,25.3,0.6,10.16,52.8,31.5
al ain,29.8,80.3,197,62.5,2.1,29.81,29.7,14.8
dubai,21.9,70.1,18,73.5,1.8,35.96,52.3,28.5
dubai,70.6,85.0,73,17.7,0.6,8.38,9.9,3.6
abu dhabi,65.9,37.6,73,149.2,3.5,64.75,53.5,19.3
dubai,53.5,14.1,75,10.5,0.3,4.89,24.3,12.0
ajman,91.1,40.1,48,138.3,4.7,67.21,17.6,6.7
sharjah,10.3,96.3,47,16.6,0.4,7.19,22.1,13.4
al ain,15.0,21.4,193,129.6,4.2,59.81,36.2,15.2
abu dhabi,38.3,17.5,179,84.5,2.3,31.62,18.0,6.0
ajman,65.6,94.4,136,33.5,0.9,13.08,38.6,20.6
ajman,58.4,95.0,111,38.5,1.2,19.21,30.2,15.8
ajman,7.4,14.9,95,56.0,1.3,23.99,39.3,15.9
ras al khaimah,95.8,76.9,136,120.1,3.6,60.06,20.2,7.1
abu dhabi,30.5,43.0,172,26.3,0.6,12.66,15.6,8.6
ajman,35.9,49.2,85,40.1,1.2,17.05,40.4,24.1
ras al khaimah,62.4,49.9,107,105.4,3.1,52.57,31.8,11.9
al ain,94.5,96.8,182,94.0,2.1,35.98,8.5,5.1
ajman,66.3,18.5,182,66.0,1.4,25.67,39.2,22.0
ajman,95.5,77.3,46,13.8,0.4,5.98,16.6,10.1
al ain,18.8,0.6,48,86.0,1.9,41.11,21.9,7.1
ajman,61.9,62.9,41,38.2,1.1,15.8,51.3,35.2
al ain,82.9,65.3,6,93.8,3.3,39.23,12.1,6.8
dubai,50.9,75.4,139,44.8,1.0,23.08,25.8,10.4
sharjah,36.2,92.6,86,147.1,4.0,76.78,5.2,3.4
dubai,98.5,75.4,7,90.6,3.1,47.5,27.0,14.4
dubai,14.1,73.2,41,87.8,3.0,31.96,55.3,20.1
sharjah,41.1,25.4,106,126.3,2.6,63.62,33.5,21.5
abu dhabi,87.3,99.3,167,149.0,4.8,74.07,52.1,30.7
sharjah,90.0,46.8,132,118.0,2.8,47.96,32.5,13.4
sharjah,98.0,41.7,107,91.1,2.8,36.51,3.5,1.8
ajman,88.5,50.2,38,130.2,3.3,47.69,30.3,13.9
al ain,5.1,39.4,58,31.3,0.7,15.9,14.0,4.2
al ain,93.0,59.4,156,115.8,3.1,54.35,26.0,12.8
sharjah,42.8,35.0,154,103.6,2.3,37.59,14.2,5.6
abu dhabi,65.2,24.0,173,86.7,2.3,34.73,6.8,2.5
ras al khaimah,39.4,92.8,105,130.7,3.4,66.6,12.7,4.3
dubai,81.4,92.8,55,107.9,3.7,50.54,24.1,9.4
ajman,57.6,49.6,101,108.9,3.1,55.98,49.4,29.8
sharjah,84.6,96.2,179,136.9,4.2,52.9,46.2,20.5
abu dhabi,19.4,41.6,36,106.4,2.4,56.55,2.2,0.8
ajman,18.5,38.7,169,42.0,1.5,16.69,46.6,17.1
abu dhabi,44.0,91.7,199,31.6,0.9,13.1,1.8,1.0
abu dhabi,0.5,63.3,164,79.4,1.7,41.82,4.6,2.1
ajman,69.3,76.3,132,39.1,1.1,16.28,45.7,25.1
abu dhabi,29.6,41.3,82,106.4,2.6,49.7,23.6,7.6
ras al khaimah,55.7,40.7,171,127.2,3.1,53.67,19.3,11.4
dubai,7.0,8.3,33,47.3,1.2,23.33,22.5,15.4
sharjah,17.1,96.7,152,137.5,3.7,57.21,31.4,19.3
ras al khaimah,62.3,22.8,80,113.3,2.8,49.79,36.4,21.4
abu dhabi,30.6,49.4,101,148.3,4.7,55.62,40.2,15.3
ras al khaimah,21.5,11.5,93,33.8,0.8,17.77,5.8,2.7
ras al khaimah,22.9,64.7,2,71.9,1.6,37.61,9.9,3.6
al ain,21.5,39.1,197,97.8,2.1,49.37,26.0,15.7
abu dhabi,62.3,76.8,133,115.6,3.0,59.78,51.8,30.9
ras al khaimah,16.8,52.8,120,137.2,3.0,64.28,45.8,16.0
al ain,36.3,12.9,21,134.2,2.7,50.38,11.2,6.7
ras al khaimah,68.8,1.1,155,39.2,1.0,14.61,17.2,9.1
abu dhabi,51.4,21.2,192,66.3,2.3,33.25,22.7,15.7
ras al khaimah,59.7,72.4,163,109.2,2.2,49.48,51.6,35.9
dubai,25.1,82.9,50,24.2,0.5,9.92,58.7,19.5
ajman,93.3,34.1,37,144.1,4.1,52.85,4.6,2.9
sharjah,41.4,53.6,74,113.3,3.1,60.86,29.2,10.6
ajman,28.7,24.0,5,125.2,2.7,47.25,21.7,11.3
ajman,90.4,88.0,110,136.6,4.6,58.13,19.3,9.7
dubai,65.5,96.5,92,30.8,0.9,14.86,29.9,12.2
ajman,61.4,75.3,101,66.2,1.8,31.26,43.1,25.4
al ain,88.7,8.9,198,99.5,2.8,38.08,35.4,18.2
sharjah,5.9,43.7,131,124.3,4.0,58.63,25.5,14.0
abu dhabi,83.8,99.1,83,112.0,2.4,47.1,43.3,25.0
al ain,67.8,22.9,156,22.6,0.8,8.83,24.7,11.4
dubai,36.0,67.0,74,98.6,2.1,46.45,39.1,12.4
sharjah,25.6,93.9,151,47.6,1.3,24.85,10.1,4.1
ajman,10.5,77.3,186,63.9,1.5,31.65,20.4,7.6
sharjah,94.1,60.9,181,149.2,4.5,58.08,34.1,20.5
al ain,14.2,50.7,104,27.8,0.9,10.88,55.1,22.0
sharjah,25.9,92.9,94,20.1,0.6,8.93,1.2,0.5
al ain,69.1,39.5,80,64.3,1.5,23.39,43.6,20.9
dubai,71.0,90.1,107,130.3,4.1,47.39,29.0,18.4
ras al khaimah,16.1,43.1,187,28.5,1.0,11.55,44.7,28.5
ajman,81.4,75.7,174,16.6,0.4,6.29,6.9,2.7
abu dhabi,51.0,91.6,121,65.7,1.6,30.12,35.5,16.4
abu dhabi,84.8,55.1,57,96.7,2.7,35.57,25.3,10.1
ras al khaimah,8.7,31.0,75,27.4,0.9,11.07,18.7,12.9
ajman,4.3,5.1,49,121.7,2.7,45.09,1.9,1.0
ajman,63.7,80.9,38,127.7,2.7,58.17,31.5,9.5
dubai,15.0,62.2,2,80.8,2.3,34.22,20.5,6.9
ajman,52.5,26.3,155,9.4,0.3,3.52,55.3,35.5
al ain,1.4,87.7,147,79.8,2.0,33.82,45.1,20.7
dubai,78.0,92.0,36,36.1,1.0,13.0,5.2,3.4
sharjah,90.0,88.7,137,69.7,2.2,35.45,18.6,10.5
sharjah,83.9,60.2,33,115.2,2.4,49.01,15.6,8.0
al ain,95.8,97.7,56,12.9,0.3,6.19,41.0,25.7
abu dhabi,90.3,87.5,52,5.0,0.1,2.44,34.5,20.4
sharjah,44.4,10.4,26,24.4,0.8,11.22,21.5,11.5
ras al khaimah,39.8,98.1,146,11.6,0.3,5.41,13.3,4.4
dubai,89.6,54.9,9,42.8,1.4,18.71,26.4,16.4
ras al khaimah,92.7,92.0,81,63.6,1.8,27.56,15.1,9.6
ras al khaimah,97.3,76.0,98,118.1,2.8,49.02,11.4,7.5
ras al khaimah,76.8,64.8,115,9.4,0.2,3.5,48.9,16.7
ajman,20.2,32.7,39,55.9,1.5,23.64,58.1,40.0
ras al khaimah,94.5,2.7,94,139.8,4.2,61.97,45.3,21.5
ras al khaimah,94.7,27.7,158,88.6,3.0,34.03,3.7,1.4
al ain,66.6,68.6,75,124.9,3.4,65.38,56.3,32.9
sharjah,85.7,86.3,190,75.1,2.2,27.15,27.2,16.6
sharjah,56.1,0.2,86,19.1,0.4,7.65,15.9,4.8
ajman,94.4,20.8,155,32.1,0.9,15.48,46.3,19.9
abu dhabi,9.4,67.3,23,114.9,3.6,58.4,0.2,0.1
al ain,86.4,28.4,170,130.3,4.1,58.02,1.8,1.2
ras al khaimah,5.6,14.2,96,72.8,2.5,33.92,45.5,14.0
ajman,33.9,8.2,198,76.4,2.7,31.26,9.6,5.8
abu dhabi,13.5,63.8,140,70.3,1.9,37.38,28.3,19.0
sharjah,47.9,59.5,148,7.7,0.3,3.66,31.5,21.3
sharjah,23.2,85.9,30,18.8,0.6,7.21,59.6,23.2
ajman,95.2,31.5,113,148.8,4.1,73.29,19.8,10.8
ras al khaimah,55.9,13.7,147,11.1,0.2,4.25,18.2,8.9
ras al khaimah,89.8,79.9,162,55.6,1.9,24.05,28.4,15.5
al ain,27.8,98.8,75,105.1,3.6,47.13,29.0,15.0
al ain,2.6,36.0,113,66.6,1.8,32.64,32.9,21.8
ras al khaimah,77.6,86.5,35,147.5,3.7,79.55,52.7,31.3
sharjah,70.2,76.3,87,9.7,0.2,4.14,42.5,22.0
ajman,54.5,91.2,95,131.8,2.7,63.48,51.7,36.1
sharjah,81.5,42.4,7,24.5,0.8,11.79,23.2,15.7
ajman,84.0,10.1,183,34.7,0.9,13.64,46.3,16.7
ras al khaimah,58.8,11.8,128,81.6,2.3,38.82,57.7,32.0
sharjah,96.6,76.3,37,131.4,3.2,68.1,4.7,3.2
ajman,72.0,86.3,179,65.0,1.9,29.9,26.1,16.7
dubai,67.7,45.7,138,47.6,1.5,21.25,35.8,23.5
ras al khaimah,36.1,6.0,138,63.2,2.1,30.12,35.1,19.2
sharjah,0.2,6.7,186,18.7,0.5,9.45,30.8,10.2
sharjah,24.1,59.9,81,126.5,3.1,50.67,49.3,15.1
ajman,76.4,91.9,71,137.7,2.9,53.61,12.6,5.3
abu dhabi,71.0,40.0,123,103.0,3.4,49.15,57.9,31.6
ajman,33.1,65.1,177,69.5,2.3,25.45,48.5,32.5
ras al khaimah,62.6,54.2,162,94.1,2.4,47.85,17.6,8.1
sharjah,19.5,89.0,157,85.0,2.0,35.22,2.0,1.1
dubai,26.4,83.2,153,12.5,0.4,4.75,43.3,22.2
sharjah,94.7,19.9,7,62.2,1.9,30.95,1.6,0.6
abu dhabi,41.3,67.8,98,100.2,3.1,40.09,29.2,12.4
sharjah,24.5,84.8,71,127.9,2.7,55.29,34.9,15.7
ajman,48.7,93.0,72,57.1,2.0,24.81,58.7,35.6
dubai,38.7,59.0,171,123.8,3.5,62.85,18.8,10.7
ras al khaimah,73.0,17.6,79,114.8,3.3,46.79,43.1,21.1
abu dhabi,96.2,55.8,167,139.7,2.9,66.21,57.3,39.9
al ain,59.2,66.6,181,148.5,3.0,80.15,27.8,11.7
ras al khaimah,59.1,27.2,91,11.1,0.2,5.19,7.2,4.3
abu dhabi,36.5,97.3,34,68.4,1.8,26.36,7.4,2.5
ajman,56.5,22.9,139,117.2,4.0,48.17,23.4,11.2
dubai,31.9,91.1,172,124.4,3.8,56.77,19.5,11.9
dubai,0.1,42.5,81,17.0,0.6,7.11,19.0,9.3
al ain,86.6,0.1,39,93.0,2.8,42.13,29.1,15.5
ras al khaimah,42.9,54.3,104,135.3,2.9,61.94,32.2,15.8
dubai,49.2,62.8,196,37.9,1.2,18.66,15.9,6.2
abu dhabi,8.4,86.9,103,55.4,1.6,26.16,26.4,17.1
abu dhabi,83.7,54.1,90,62.3,2.1,30.25,39.1,22.1
sharjah,17.0,9.4,88,62.2,1.8,24.84,33.4,19.9
abu dhabi,41.1,92.7,146,86.4,2.0,37.69,45.3,30.8
abu dhabi,84.0,56.5,68,13.8,0.4,7.02,16.4,9.5
ajman,45.8,27.2,146,118.0,3.7,58.46,22.6,7.4
abu dhabi,93.1,89.9,197,22.8,0.6,8.96,33.2,18.3
al ain,20.9,12.1,154,122.9,2.6,45.66,54.5,27.4
ras al khaimah,71.5,9.7,185,7.5,0.2,3.58,36.7,14.3
ras al khaimah,97.8,53.5,158,119.1,3.9,52.4,17.3,9.3
abu dhabi,55.0,62.5,168,56.5,1.4,24.51,2.2,1.3
ras al khaimah,69.2,51.1,8,100.1,3.1,36.49,30.9,16.2
al ain,39.3,92.9,71,31.0,0.7,13.29,57.0,20.6
abu dhabi,75.1,26.3,55,82.9,2.1,32.51,40.0,22.2
ras al khaimah,90.9,99.0,172,48.4,1.2,17.72,25.5,7.9
sharjah,70.3,1.9,46,5.6,0.1,2.42,4.6,1.7
ras al khaimah,93.6,11.9,193,110.1,2.8,55.98,7.0,4.3
sharjah,58.9,18.6,140,24.0,0.7,12.49,44.6,22.1
ras al khaimah,57.7,8.0,25,141.3,3.7,56.93,19.0,10.2
dubai,30.5,43.8,136,83.8,2.1,34.32,17.6,7.7
sharjah,71.0,86.5,69,5.2,0.2,1.96,13.9,7.3
abu dhabi,88.2,82.1,60,142.0,3.9,74.36,53.8,17.0
abu dhabi,64.6,74.5,198,24.3,0.6,9.03,18.3,5.7
abu dhabi,23.3,0.7,158,125.9,4.0,66.56,10.6,7.0
sharjah,54.4,86.6,152,52.7,1.4,25.06,22.0,9.1
dubai,75.6,39.6,63,87.4,2.5,43.84,42.6,26.5
ras al khaimah,93.9,73.2,132,126.2,2.6,50.43,24.9,12.6
ajman,15.7,72.7,69,12.3,0.3,5.77,45.9,15.2
ras al khaimah,12.7,17.8,120,103.6,2.4,39.32,40.9,13.3
ras al khaimah,41.3,51.5,80,26.5,0.9,12.68,21.3,6.9
dubai,12.6,92.6,122,108.9,2.2,50.97,52.5,26.3
dubai,98.0,26.3,149,28.3,0.9,14.38,4.4,1.9
sharjah,42.4,71.5,63,8.2,0.3,3.9,44.1,30.5
sharjah,53.4,95.8,3,27.5,0.7,14.71,30.5,10.5
abu dhabi,22.7,36.1,20,95.7,2.3,42.9,19.2,8.8
ras al khaimah,44.9,38.8,181,147.9,3.3,67.94,24.5,7.5
ajman,98.5,45.3,191,145.7,3.5,54.44,35.3,19.3
ras al khaimah,48.9,80.9,138,113.1,3.8,42.92,16.4,5.5
dubai,0.9,43.9,22,124.6,2.6,48.75,36.4,20.8
ras al khaimah,24.3,48.6,117,131.7,3.5,50.22,31.8,18.7
abu dhabi,97.8,22.2,87,81.6,2.0,31.39,46.1,32.0
sharjah,98.9,98.8,48,38.1,1.2,15.5,10.8,4.2
sharjah,21.0,89.2,76,100.9,2.5,41.38,21.4,12.0
ras al khaimah,61.5,60.0,157,25.5,0.6,12.37,30.6,12.9
abu dhabi,7.7,96.1,199,125.7,2.6,56.26,43.7,18.4
abu dhabi,57.7,68.7,174,64.8,2.2,34.14,20.2,13.0
sharjah,12.6,95.9,41,43.6,1.2,18.39,18.3,12.0
sharjah,81.9,16.2,100,127.3,2.7,47.28,53.6,21.8
abu dhabi,94.0,22.5,106,21.1,0.7,10.8,6.5,3.5
abu dhabi,17.3,88.5,59,146.3,4.6,74.86,43.6,26.0
abu dhabi,46.3,42.0,87,142.8,3.8,60.75,48.3,21.0
sharjah,10.2,37.1,76,93.3,3.2,34.77,15.7,5.7
sharjah,33.9,75.4,14,108.3,2.5,56.16,26.2,16.4
sharjah,6.5,63.0,83,10.4,0.3,5.49,31.2,15.9
ras al khaimah,26.5,34.4,73,68.4,2.2,36.9,46.2,19.0
abu dhabi,99.0,39.8,61,133.3,3.7,57.37,52.4,16.3
al ain,4.5,40.8,123,6.7,0.2,2.57,23.6,15.2
ras al khaimah,85.9,12.6,142,47.1,1.0,20.16,20.9,10.0
abu dhabi,7.7,23.0,10,56.3,1.2,26.2,21.1,11.0
abu dhabi,52.9,53.8,69,102.9,2.7,37.85,11.7,4.1
abu dhabi,45.2,78.2,7,107.2,3.6,43.88,3.3,1.1
abu dhabi,93.2,41.9,164,14.5,0.3,7.68,53.3,23.6
sharjah,19.9,38.3,185,36.5,1.0,13.43,18.7,7.3
dubai,18.0,65.1,93,124.7,2.6,48.28,0.7,0.2
dubai,74.9,15.7,189,32.8,0.8,15.24,8.7,3.2
sharjah,72.6,38.1,126,46.5,1.2,24.76,56.5,31.7
ras al khaimah,69.9,20.8,173,28.5,1.0,15.08,3.7,1.5
abu dhabi,2.6,65.2,189,114.4,2.6,46.49,41.5,28.5
al ain,26.0,11.2,117,8.9,0.2,4.19,46.9,31.0
sharjah,84.0,44.8,89,48.8,1.0,26.04,44.9,19.7
al ain,60.1,59.6,148,82.2,2.3,38.91,20.0,12.3
abu dhabi,60.2,83.4,34,5.9,0.2,2.36,38.4,14.3
ajman,29.6,72.5,60,143.3,3.3,69.48,16.9,8.2
ras al khaimah,26.0,94.3,110,131.0,3.1,59.21,25.0,11.8
